student_id;annee_academique;departement_code;departement_nom;ue_code;ue_nom;note;enseignants
etu_2024010;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;8,65;Prof. Lambert
etu_2024011;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;;Prof. Lambert
etu_2024011;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;12,94;Prof. Lambert
etu_2024012;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;7,78;Prof. Lambert
etu_2024012;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;15,95;Prof. Lambert
etu_2024012;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;4,01;"Prof. Moreau;Prof. Durand"
etu_2024013;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;10,01;"Prof. Martin;Prof. Leroy"
etu_2024013;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;13,55;Prof. Simon
etu_2024014;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;8,01;Prof. Lambert
etu_2024014;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;5,27;Prof. Lambert
etu_2024015;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;6,38;"Prof. Martin;Prof. Leroy"
etu_2024015;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;13,28;Prof. Simon
etu_2024016;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;;Prof. Durand
etu_2024016;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;11,75;Prof. Dubois
etu_2024016;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;14,1;Prof. Durand
etu_2024017;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;9,65;"Prof. Martin;Prof. Leroy"
etu_2024017;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;6,09;Prof. Simon
etu_2024018;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;8,6;Prof. Durand
etu_2024018;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;11,66;Prof. Dubois
etu_2024018;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;16,58;Prof. Durand
etu_2024019;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;11,02;Prof. Durand
etu_2024019;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;8,42;Prof. Dubois
etu_2024019;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;16,82;Prof. Durand
etu_2024020;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;7,29;Prof. Lambert
etu_2024020;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;14,47;Prof. Lambert
etu_2024021;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;11,88;Prof. Durand
etu_2024021;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;12,21;Prof. Dubois
etu_2024021;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;14,36;Prof. Durand
etu_2024022;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;18,55;Prof. Lambert
etu_2024022;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;13,29;Prof. Lambert
etu_2024022;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;6,04;"Prof. Moreau;Prof. Durand"
etu_2024023;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;8,18;"Prof. Martin;Prof. Leroy"
etu_2024023;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;11,94;Prof. Simon
etu_2024024;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;1,32;"Prof. Martin;Prof. Leroy"
etu_2024024;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;8,24;Prof. Simon
etu_2024025;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;8,96;Prof. Durand
etu_2024025;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;16,41;Prof. Dubois
etu_2024025;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;5,28;Prof. Durand
etu_2024026;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;8,73;Prof. Lambert
etu_2024026;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;14,77;Prof. Lambert
etu_2024027;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;11,25;Prof. Durand
etu_2024027;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;9,78;Prof. Dubois
etu_2024027;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;8,72;Prof. Durand
etu_2024028;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;16,57;Prof. Lambert
etu_2024028;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;17,59;Prof. Lambert
etu_2024029;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;12,85;Prof. Lambert
etu_2024029;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;15,63;Prof. Lambert
etu_2024030;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;9,1;Prof. Lambert
etu_2024030;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;6,71;Prof. Lambert
etu_2024030;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;8,53;"Prof. Moreau;Prof. Durand"
etu_2024031;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;18,79;Prof. Lambert
etu_2024031;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;7,0;Prof. Lambert
etu_2024032;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;14,89;"Prof. Martin;Prof. Leroy"
etu_2024032;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;13,58;Prof. Simon
etu_2024033;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;;"Prof. Martin;Prof. Leroy"
etu_2024033;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;6,94;Prof. Simon
etu_2024034;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;;Prof. Lambert
etu_2024034;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;7,5;Prof. Lambert
etu_2024034;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;13,91;"Prof. Moreau;Prof. Durand"
etu_2024035;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;10,49;"Prof. Martin;Prof. Leroy"
etu_2024035;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;18,22;Prof. Simon
etu_2024036;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;11,01;Prof. Durand
etu_2024036;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;7,35;Prof. Dubois
etu_2024036;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;9,89;Prof. Durand
etu_2024037;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;5,68;Prof. Lambert
etu_2024037;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;17,47;Prof. Lambert
etu_2024038;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;8,9;Prof. Lambert
etu_2024038;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;;Prof. Lambert
etu_2024039;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;12,44;"Prof. Martin;Prof. Leroy"
etu_2024039;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;8,48;Prof. Simon
etu_2024040;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;10,51;Prof. Lambert
etu_2024040;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;11,91;Prof. Lambert
etu_2024041;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;6,86;Prof. Lambert
etu_2024041;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;12,73;Prof. Lambert
etu_2024041;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;13,61;"Prof. Moreau;Prof. Durand"
etu_2024042;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;16,2;Prof. Lambert
etu_2024042;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;20,0;Prof. Lambert
etu_2024043;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;15,76;Prof. Lambert
etu_2024043;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;13,35;Prof. Lambert
etu_2024044;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;13,7;"Prof. Martin;Prof. Leroy"
etu_2024044;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;7,85;Prof. Simon
etu_2024045;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;8,94;Prof. Durand
etu_2024045;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;;Prof. Dubois
etu_2024045;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;13,44;Prof. Durand
etu_2024046;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;15,79;Prof. Lambert
etu_2024046;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;15,49;Prof. Lambert
etu_2024046;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;5,39;"Prof. Moreau;Prof. Durand"
etu_2024047;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;19,71;Prof. Lambert
etu_2024047;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;0,0;Prof. Lambert
etu_2024048;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;9,31;Prof. Lambert
etu_2024048;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;17,8;Prof. Lambert
etu_2024049;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;6,96;Prof. Lambert
etu_2024049;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;;Prof. Lambert
etu_2024049;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;12,85;"Prof. Moreau;Prof. Durand"
etu_2024050;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;10,22;"Prof. Martin;Prof. Leroy"
etu_2024050;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;8,83;Prof. Simon
etu_2024051;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;18,49;Prof. Lambert
etu_2024051;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;13,58;Prof. Lambert
etu_2024052;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;15,57;Prof. Lambert
etu_2024052;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;13,49;Prof. Lambert
etu_2024052;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;15,16;"Prof. Moreau;Prof. Durand"
etu_2024053;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;11,1;"Prof. Martin;Prof. Leroy"
etu_2024053;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;9,43;Prof. Simon
etu_2024054;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;14,29;Prof. Lambert
etu_2024054;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;13,26;Prof. Lambert
etu_2024055;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;17,8;"Prof. Martin;Prof. Leroy"
etu_2024055;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;;Prof. Simon
etu_2024056;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;;"Prof. Martin;Prof. Leroy"
etu_2024056;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;11,71;Prof. Simon
etu_2024057;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;10,49;Prof. Lambert
etu_2024057;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;4,28;Prof. Lambert
etu_2024058;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;4,91;Prof. Lambert
etu_2024058;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;11,74;Prof. Lambert
etu_2024058;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;16,38;"Prof. Moreau;Prof. Durand"
etu_2024059;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;6,22;Prof. Lambert
etu_2024059;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;9,88;Prof. Lambert
etu_2024060;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;9,35;Prof. Lambert
etu_2024060;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;9,37;Prof. Lambert
etu_2024061;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;8,98;Prof. Lambert
etu_2024061;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;;Prof. Lambert
etu_2024061;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;13,99;"Prof. Moreau;Prof. Durand"
etu_2024062;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;14,75;Prof. Lambert
etu_2024062;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;11,47;Prof. Lambert
etu_2024062;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;9,24;"Prof. Moreau;Prof. Durand"
etu_2024063;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;2,3;Prof. Lambert
etu_2024063;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;10,95;Prof. Lambert
etu_2024064;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;14,77;"Prof. Martin;Prof. Leroy"
etu_2024064;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;9,45;Prof. Simon
etu_2024065;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;10,17;Prof. Lambert
etu_2024065;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;6,52;Prof. Lambert
etu_2024066;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;12,99;Prof. Lambert
etu_2024066;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;13,57;Prof. Lambert
etu_2024066;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;11,1;"Prof. Moreau;Prof. Durand"
etu_2024067;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;6,18;Prof. Durand
etu_2024067;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;9,94;Prof. Dubois
etu_2024067;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;11,64;Prof. Durand
etu_2024068;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;6,39;Prof. Lambert
etu_2024068;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;12,1;Prof. Lambert
etu_2024069;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;;Prof. Lambert
etu_2024069;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;16,68;Prof. Lambert
etu_2024069;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;;"Prof. Moreau;Prof. Durand"
etu_2024070;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;15,74;Prof. Lambert
etu_2024070;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;4,26;Prof. Lambert
etu_2024070;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;11,93;"Prof. Moreau;Prof. Durand"
etu_2024071;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;13,67;"Prof. Martin;Prof. Leroy"
etu_2024071;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;6,9;Prof. Simon
etu_2024072;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;;Prof. Lambert
etu_2024072;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;10,84;Prof. Lambert
etu_2024072;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;3,69;"Prof. Moreau;Prof. Durand"
etu_2024073;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;13,89;Prof. Lambert
etu_2024073;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;15,15;Prof. Lambert
etu_2024074;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;7,78;Prof. Lambert
etu_2024074;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;11,69;Prof. Lambert
etu_2024074;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;14,08;"Prof. Moreau;Prof. Durand"
etu_2024075;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;5,46;Prof. Lambert
etu_2024075;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;12,98;Prof. Lambert
etu_2024076;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;3,36;Prof. Lambert
etu_2024076;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;10,79;Prof. Lambert
etu_2024077;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;14,36;Prof. Lambert
etu_2024077;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;7,64;Prof. Lambert
etu_2024078;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;9,55;Prof. Lambert
etu_2024078;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;10,2;Prof. Lambert
etu_2024079;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;16,68;Prof. Lambert
etu_2024079;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;13,19;Prof. Lambert
etu_2024079;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;16,37;"Prof. Moreau;Prof. Durand"
etu_2024080;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;13,11;Prof. Lambert
etu_2024080;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;14,95;Prof. Lambert
etu_2024080;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;;"Prof. Moreau;Prof. Durand"
etu_2024081;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;16,44;"Prof. Martin;Prof. Leroy"
etu_2024081;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;;Prof. Simon
etu_2024082;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;;Prof. Lambert
etu_2024082;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;8,79;Prof. Lambert
etu_2024083;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;11,39;Prof. Lambert
etu_2024083;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;11,52;Prof. Lambert
etu_2024083;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;3,41;"Prof. Moreau;Prof. Durand"
etu_2024084;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;9,97;"Prof. Martin;Prof. Leroy"
etu_2024084;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;12,37;Prof. Simon
etu_2024085;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;13,57;Prof. Lambert
etu_2024085;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;14,63;Prof. Lambert
etu_2024086;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;15,99;Prof. Durand
etu_2024086;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;;Prof. Dubois
etu_2024086;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;13,74;Prof. Durand
etu_2024087;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;8,73;Prof. Lambert
etu_2024087;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;11,12;Prof. Lambert
etu_2024088;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;5,02;Prof. Durand
etu_2024088;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;8,18;Prof. Dubois
etu_2024088;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;12,95;Prof. Durand
etu_2024089;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;13,4;Prof. Durand
etu_2024089;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;6,92;Prof. Dubois
etu_2024089;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;12,51;Prof. Durand
etu_2024090;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;14,5;Prof. Lambert
etu_2024090;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;13,31;Prof. Lambert
etu_2024090;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;13,96;"Prof. Moreau;Prof. Durand"
etu_2024091;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;12,64;Prof. Lambert
etu_2024091;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;11,45;Prof. Lambert
etu_2024092;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;13,27;Prof. Lambert
etu_2024092;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;11,11;Prof. Lambert
etu_2024092;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;16,15;"Prof. Moreau;Prof. Durand"
etu_2024093;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;12,76;Prof. Durand
etu_2024093;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;13,26;Prof. Dubois
etu_2024093;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;10,68;Prof. Durand
etu_2024094;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;11,96;Prof. Lambert
etu_2024094;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;9,55;Prof. Lambert
etu_2024094;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;11,03;"Prof. Moreau;Prof. Durand"
etu_2024095;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;19,01;"Prof. Martin;Prof. Leroy"
etu_2024095;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;12,08;Prof. Simon
etu_2024096;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;12,25;"Prof. Martin;Prof. Leroy"
etu_2024096;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;11,44;Prof. Simon
etu_2024097;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;13,33;Prof. Lambert
etu_2024097;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;9,94;Prof. Lambert
etu_2024098;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;9,21;Prof. Durand
etu_2024098;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;17,17;Prof. Dubois
etu_2024098;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;7,89;Prof. Durand
etu_2024099;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;12,33;"Prof. Martin;Prof. Leroy"
etu_2024099;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;9,07;Prof. Simon
etu_2024100;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;8,96;Prof. Lambert
etu_2024100;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;11,17;Prof. Lambert
etu_2024100;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;10,01;"Prof. Moreau;Prof. Durand"
etu_2024101;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;10,28;"Prof. Martin;Prof. Leroy"
etu_2024101;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;15,41;Prof. Simon
etu_2024102;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;8,04;Prof. Lambert
etu_2024102;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;10,91;Prof. Lambert
etu_2024103;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;8,21;Prof. Lambert
etu_2024103;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;9,25;Prof. Lambert
etu_2024104;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;6,4;Prof. Lambert
etu_2024104;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;3,97;Prof. Lambert
etu_2024105;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;14,29;"Prof. Martin;Prof. Leroy"
etu_2024105;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;7,96;Prof. Simon
etu_2024106;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;7,31;"Prof. Martin;Prof. Leroy"
